ParaText,Paragraph,Probe,wordCount_with_stopwords,syllableCount_with_stopwords,ease_of_reading,wordCount_without_stopwords,syllableCount_without_stopwords,CD,NN,JJ,VBN,VBP,NNS,VBD,VBG,DT,IN,JJS,MD,VB,RB,VBZ,RBS,JJR,WRB,RBR,sentiment
note many pretty teeth seen everywhere read another millions using new method teeth cleansing would woman dingy film teeth pepsodent removes film,12,N,33,45,79.97,22,34,0,4,3,1,1,4,0,2,1,0,0,1,2,3,0,0,0,0,0,1
habits—no matter large small—have three components according neurological studies theres cue—a trigger particular behavior routine behavior reward brain decides whether remember habit future hopkins identified tooth film found cue existed eons moreover reward hopkins promising hard resist doesnt want prettier smile particularly takes quick brush pepsodent,13,N,87,133,65.22,46,91,1,13,11,2,3,5,1,2,0,1,0,0,1,2,3,0,1,0,0,1
three weeks first pepsodent ad campaign demand toothpaste exploded many orders company couldnt keep three years product went international within decade pepsodent one top sellers around globe,14,N,44,65,68.77,27,47,3,11,3,0,1,4,2,0,0,2,0,0,0,1,0,0,0,0,0,1
made million dollars pepsodent hopkins wrote years product appeared shelves key said grounded advertising campaign two basic rules,15,Y,36,51,70.13,18,31,2,4,3,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
first find simple obvious cue,16,N,7,10,81.29,5,8,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
second clearly define rewards,17,N,5,9,49.48,4,8,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
even today hopkinss rules staple marketing textbooks theyre cited boardrooms advertising offices business school classrooms,18,N,20,34,52.87,15,29,0,6,0,1,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
thats full explanation pepsodent success theres another rule even hopkins time didnt understand,19,N,24,36,67.76,13,25,0,7,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,1
first time spoke wolfram schultz professor neuroscience university cambridge kept thinking arnold schwarzenegger schultz austria sounds lot like terminator cyborg member royal society science reason sought schultz experiments 80 years later explained pepsodent became hit many habits seem overpowering people sway,20,Y,81,118,52.53,41,75,1,16,7,0,1,4,5,2,0,1,0,0,0,3,1,0,0,0,0,1
schultzs specialty exploring learn particular years ago schultz became interested eightpound macaque monkey hazel eyes named julio schultzs assistants inserted thin electrode julios brain allowed observe monkeys neuronal activity occurred,21,N,49,76,54.93,30,56,0,10,7,2,0,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0
one day schultz positioned julio dimly lit room turned computer monitor julios job touch lever whenever colored shapes appeared screen julio touched lever drop blackberry juice would run tube hanging ceiling onto julios lips,22,N,53,69,78.89,34,50,1,14,3,0,0,4,4,1,0,1,0,1,1,4,0,0,0,0,0,1
julio liked blackberry juice,23,N,4,6,75.88,4,6,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
first julio mildly interested happening screen first dose juice arrived monkey became focused julio came understand shapes screen cue routine touch lever resulted reward blackberry juice started staring screen laser like intensity,24,N,65,89,66.37,32,55,0,15,5,0,0,1,5,2,0,1,0,0,0,3,0,0,0,0,0,1
schultz monitored activity within julios brain saw pattern emerge whenever julio received reward brain activity would spike manner suggested experiencing happiness transcript neurological activity shows looks like monkeys brain says essence got reward,25,N,54,87,53.21,33,66,0,12,4,0,0,2,5,1,0,2,0,1,1,1,3,0,0,1,0,1
schultz took julio experiment monkey became practiced behavior—as touching lever whenever julio saw shapes became habit—schultz saw neurological change occur monkeys brain began anticipating blackberry juice schultzs probes started recording got reward pattern instant julio saw shapes screen juice arrived,26,Y,69,101,65.93,40,71,0,14,7,0,1,4,9,3,0,0,0,0,0,1,0,0,0,1,0,1
words shapes monitor become cue pulling lever also pleasure response inside monkeys brain,27,N,28,37,68.44,13,21,0,4,2,0,1,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
schultz adjusted experiment previously julio received juice soon touched lever sometimes juice didnt arrive even julio performed correctly orit would arrive slight delay orit would watered half sweet,28,N,49,70,78.45,28,46,0,10,3,3,0,0,2,0,0,0,0,2,2,5,1,0,0,0,0,0
happened julio would get angry become mopey within julios brain schultz watched new pattern emerge craving julio anticipated juice didnt receive neurological pattern associated desire frustration erupted julio saw cue started anticipating juicefueled joy juice didnt arrive joy became craving unsatisfied drove julio anger depression,29,N,69,110,57.47,45,86,0,23,6,3,1,1,5,3,0,1,0,1,1,0,0,0,0,0,0,1
scientists say habits emerge powerful create neurological cravings time cravings emerge gradually really aware exist brains start associate certain cues doughnut box certain rewards yummy jelly subconscious craving emerges whenever see dunkin donuts container break room start craving donut—even moments werent hungry,30,Y,81,118,66.23,42,78,0,4,13,0,9,10,0,2,0,0,0,0,0,3,0,0,0,1,0,1
something similar turned happening people started using pepsodent decade pepsodent went sale competing toothpaste companies launched massive project figure success eventually tripped something interesting pepsodent recipe,31,N,45,75,47.79,26,55,0,12,3,0,0,2,5,3,0,0,0,0,0,1,0,0,0,0,0,1
unlike toothpastes period pepsodent contained citric acid well doses mint oil relatively exotic chemicals pepsodents inventor used ingredients make toothpaste taste minty make sure paste wouldnt become gluey sat shelves,32,N,48,76,47.12,30,56,0,10,5,0,3,5,2,0,0,1,0,0,0,3,1,0,0,0,0,1
chemicals another unanticipated effect well theyre irritants create tingling sensation tongue gums,33,N,21,36,41.7,12,27,0,3,2,0,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0
researchers competing companies started interviewing customers found people said forgot use pepsodent realized mistake missed cool tingling sensation mouths expected—they craved—that slight irritation wasnt mouths didnt feel clean,34,N,48,76,55.24,28,55,0,5,5,3,2,6,2,3,0,0,0,0,0,1,0,0,0,1,0,1
claude hopkins turns wasnt selling beautiful teeth selling sensation people craved cool tingling—once equated cleanliness—brushing became habit hopkins success driven factors caused julio monkey touch lever,35,N,45,67,68.47,26,48,0,8,4,1,0,5,4,3,0,0,0,0,0,0,1,0,0,0,0,1
soon companies discovered hopkins really selling started imitating within decades almost every toothpaste contained oils chemicals caused gums tingle soon pepsodent started getting outsold even today almost toothpastes contain additives sole job making mouth tingle brush,36,Y,55,90,57.47,36,69,0,6,3,1,1,6,4,4,1,1,0,0,0,8,1,0,0,0,0,1
studies indicate anyone use basic formula create habits want exercise choose cue going gym soon wake reward smoothie workout think smoothie endorphin rush youll feel allow anticipate reward eventually craving make easier push gym doors every day,37,N,79,110,75.0,37,66,0,16,4,0,6,3,0,2,1,0,0,0,1,3,0,0,1,0,0,0
want craft new eating habit researchers affiliated national weight control registry—a project involving 6000 people lost 30 pounds—looked habits successful dieters found 78 percent ate breakfast every morning meal cued time day successful dieters also envisioned specific reward sticking diet—a bikini wanted wear sense pride felt stepped scale day focused craving temptations arose cultivated mild obsession researchers found crowded temptations,38,N,111,159,65.86,60,107,3,21,10,0,0,8,11,4,1,0,0,0,0,2,0,0,0,0,0,1
identify right cue reward—and create sense craving—you establish almost habit,39,N,22,32,57.61,10,20,0,5,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1
consumers need kind signal product working tracy sinclair brand manager oral b crest kids toothpaste told make toothpaste taste like anything—blueberries green tea—and long cool tingle people feel like mouth clean tingling doesnt make toothpaste work better convinces people job,40,N,68,91,79.6,40,62,0,16,7,0,4,6,1,2,0,2,0,0,0,1,0,0,0,0,1,1
